,pearson_r_abs,spearman_rho_abs,f_stat,neg_log10_p,mutual_info,lasso_coef_abs,rf_importance,permutation_importance,vif,pearson_r_abs_norm,spearman_rho_abs_norm,f_stat_norm,neg_log10_p_norm,mutual_info_norm,lasso_coef_abs_norm,rf_importance_norm,permutation_importance_norm,keep_score,drop_flag
CURRENT_WAIT_TIME,0.5351497876967389,0.5265046098786222,14855.128432116737,300.0,0.22560907899621174,4.387537097548694,0.2306319220800967,0.45924226172957006,5562.358673193306,0.9999999999981284,0.9999999999980993,0.9999999999999999,0.9999999999999966,0.3417812214333936,0.9999999999997721,0.9999999999956459,0.9999999999978187,0.9177226526778568,False
CURRENT_WAIT_TIME_ma12,0.4872835943538891,0.48280729662417965,11526.091556690304,300.0,0.1867300979193134,2.865476130674229,0.085684048165338,0.24782699027513636,7.12008825732786,0.9104114852894596,0.9169438928445842,0.7758994120142394,0.9999999999999966,0.282600259091756,0.6530944507055018,0.36888794244630463,0.5388471801996526,0.680835577823937,False
CURRENT_WAIT_TIME_ma3,0.5288010945098167,0.5177972444556316,14368.747706317396,300.0,0.21985086419115163,0.7024979202360063,0.04691092219595704,0.09660589934646298,42766.1901072559,0.9881175010309869,0.9834497862267023,0.9672583360547451,0.9999999999999966,0.33301615907593873,0.1601121323004494,0.2000673406170822,0.20899384455855732,0.6051268874830573,False
CURRENT_WAIT_TIME_ma6,0.5104551469875849,0.4996145411464453,13043.806232911755,300.0,0.19868772817446878,0.3865805455017398,0.03089632679265911,0.04238738468113303,35.47505284581425,0.9537804026603799,0.9488896624590286,0.8780673254568556,0.9999999999999966,0.30080197236263356,0.08810878105569371,0.1303387962595476,0.09072887367364174,0.5488394767409721,False
CURRENT_WAIT_TIME_lag1,0.4851267727365708,0.47446762772134005,11392.948520581884,300.0,0.17607629701246807,0.0,0.006354030929129658,0.008967378251763391,5558.259373348997,0.9063746811967865,0.9010925650985091,0.766936629745784,0.9999999999999966,0.26638321397382314,0.0,0.023480113747753516,0.017830969484642127,0.48526227165591185,False
CURRENT_WAIT_TIME_lag2,0.44646640097600593,0.4344460320442101,9215.411057300214,300.0,0.15625140267077242,0.019994093436944905,0.007167702122630246,0.0083581361439528,5557.631610409106,0.8340161951290546,0.8250229468210876,0.6203514628812883,0.9999999999999966,0.23620607730601126,0.004557019802319392,0.027022888727680265,0.016502050745594528,0.44545983017662905,False
hour,0.3042002448939233,0.30625273382251994,3774.679271311024,300.0,0.10481879673607164,3.2727434908547695,0.01120741204413424,0.014177698641986236,inf,0.56774447543298,0.5813641147215934,0.25409802744680937,0.9999999999999966,0.1579161882543036,0.7459181354118914,0.04461203696149427,0.029196061152208873,0.42260612992265967,False
CURRENT_WAIT_TIME_lag3,0.4162372989248184,0.4045747170173086,7757.094906628194,300.0,0.1342823740530834,0.2637714747595638,0.008343191816086759,0.008931230062983552,7.716365401803276,0.7774380516710016,0.7682461118874546,0.5221820766401496,0.9999999999999966,0.2027651737819641,0.060118346328483965,0.03214104395844731,0.017752120690646602,0.42258036561976803,False
time_minutes,0.3037308365576477,0.3062491021361862,3761.855936423795,300.0,0.10501953565482491,2.026688580542424,0.04082901176801266,0.07913622479838937,inf,0.5668659097334354,0.5813572119235307,0.2532347997338997,0.9999999999999966,0.15822174982156126,0.46191941754162447,0.1735863243707311,0.17088784765787107,0.4207591575978313,False
cos_hour,0.34820444173762893,0.3345157863802222,5107.295071671801,300.0,0.10713007627867022,0.9812157714674975,0.03508551332787565,0.09189133942027494,24.16079772160738,0.6501047042470469,0.6350841022194357,0.3438056502804287,0.9999999999999966,0.16143438095850488,0.2236370313576327,0.14857877496563962,0.19871013804524787,0.42016934775924164,False
time,0.3037308365576477,0.3062491021361862,3761.855936423795,300.0,0.10237467454081628,0.0,0.04403390850332794,0.08659248208726582,inf,0.5668659097334354,0.5813572119235307,0.2532347997338997,0.9999999999999966,0.15419578459172623,0.0,0.1875406440736022,0.1871519238064434,0.3662932842328293,False
sin_hour,0.2420341898963432,0.28230856101006774,2303.349057190378,300.0,0.08962644775187201,0.0,0.036907048931211474,0.06611005143714314,43.45856780789567,0.4513916981682604,0.535853083614638,0.15505257422892776,0.9999999999999966,0.1347906379386557,0.0,0.15650985426657996,0.14247430621692952,0.3220090193042485,False
ADJUST_CAPACITY,0.1768973949046626,0.168992406576441,1195.7483308340336,257.1781125324683,0.14104628064091784,0.0,0.05864206071463307,0.1662375792758546,10.824513215292313,0.32947875066500104,0.3204714511087373,0.08049227846827561,0.8572312414663783,0.21306108406482993,0.0,0.2511454473044002,0.3608790197675921,0.30159490910565184,False
Pirate Ship,0.197568595211826,0.20213036172870255,1503.54695080665,300.0,0.0410371334528703,1.0649123793002067,0.00431372246301127,0.012854509079512555,9.133783790782042,0.36816789645730535,0.38345723556528616,0.10121234084614678,0.9999999999999966,0.06082876187900106,0.24271301999815065,0.014596483796447237,0.026309833522272716,0.2746606965080759,False
snow_1h,0.09122837903931198,0.031241023691148513,310.65546261184926,68.520255540672,0.6580264379529828,0.0,0.046278355891172164,0.09969527225826225,4.818202039352449,0.16913677751169595,0.05864543103180365,0.020910531670956925,0.22824336579756727,0.9999999999984779,0.0,0.1973131075858068,0.21573258684469043,0.23624772505512487,False
IS_WEEKEND,0.13909165349957744,0.14436141577662567,730.2575209385398,158.55564915199835,0.010556535979838078,2.0139727413910236,0.0028700823579725482,0.0055814529351188025,8.268404416609144,0.25871982910878044,0.27365497524774784,0.04915685981624115,0.5284225995999314,0.014431684557600187,0.4590212450889056,0.008310784996977188,0.010445367694124432,0.20027041826378855,False
sin_dow,0.13777011751171084,0.15202854014054876,716.1796074526964,155.55311729852852,0.029032583874422535,0.8081215641877427,0.015665736200041937,0.039747758741562556,2.959821015787949,0.2562463830705923,0.28822798798702837,0.0482091777064159,0.5184121173318961,0.042555628765628954,0.18418569375494376,0.06402385760614565,0.08497114890347221,0.18585399939076538,False
sin_month,0.12794873387252834,0.12248435605527792,616.0700464176972,134.16685058816975,0.023917898240938484,1.3106602348836156,0.009364447442846032,0.01936230274151627,4.139661085779416,0.2378642408702283,0.2320729355044834,0.041470108020362655,0.44711001159865793,0.034770136206915984,0.2987234536696179,0.03658765447076791,0.04050505876428874,0.17113794988816536,False
pressure,0.13073041272007624,0.12591795436418182,643.6194979537188,140.058360543358,0.04638202435734762,0.3226671391582454,0.026753355214249583,0.03894875566070612,1.4708040746020201,0.24307055578571268,0.2385992248304629,0.043324652898937124,0.4667523863732036,0.06896466921444269,0.07354174608311465,0.11230004034957045,0.0832283111168283,0.16622269833153408,False
NEAREST_EVENT_MINS,0.06255364366504287,0.017936018502668613,145.41105314951537,32.69519829314033,0.057281378557184404,2.0066142678894345,0.022192422315683146,0.06527556551028976,6.204535301435266,0.11546785645410296,0.03335641771929495,0.009786783059092946,0.10880213491992433,0.08555549162238861,0.45734411431189215,0.09244145485799217,0.14065407092549145,0.13042604048377246,False
day,0.08192234378265198,0.08291571767127671,250.10289367776576,55.423881876154,0.03340107830412897,1.4056610334508328,0.006622664141250444,0.00884752081604263,inf,0.15171918446227473,0.15686425962081962,0.016834317795903896,0.18457987686814334,0.04920528102433304,0.32037587425434005,0.024649759460027572,0.01756952860538985,0.115224760261404,True
month,0.07319269720874826,0.07374549917094883,199.36909325807042,44.42515530987479,0.047144489530219325,1.347090339027048,0.00778436052767956,0.009213310869130908,3.2147487444985545,0.13538038632794433,0.13943429439734115,0.013419073408336224,0.14790997205582002,0.07012528148957617,0.307026541104201,0.029707857774170992,0.018367413797293487,0.10767135254433541,False
EVENT_WITHIN_120,0.08708585222719523,0.10105738399686243,282.8726230832407,62.51522371314861,0.009063363195367602,0.9829685308892654,0.0011058585636629535,0.0013537016318940554,3.0997424625407786,0.1613834384989162,0.19134638380789365,0.01904027582602049,0.20822250754790644,0.01215880085850004,0.224036517306765,0.0006292448768439403,0.001223519993743577,0.10225508608957366,False
rain_1h,0.06364052657062653,0.04418335058944836,150.52877598459216,33.809455889691435,0.14961551582530497,0.2935848615945594,0.02921143613176625,0.033114152916153314,1.154932135194335,0.11750211525709649,0.08324509654033987,0.010131292519157713,0.11251708498761745,0.22610503662471806,0.06691336279720976,0.12300267753615673,0.07050149394065018,0.10123977002536828,False
dayofweek,0.08192234378265198,0.08291571767127671,250.10289367776576,55.423881876154,0.03340107830412897,0.7058919353817373,0.007424797941653453,0.011981906051837266,inf,0.15171918446227473,0.15686425962081962,0.016834317795903896,0.18457987686814334,0.04920528102433304,0.1608856904653767,0.028142299912879774,0.024406454717096824,0.09657967060835349,True
year,0.05457222750566532,0.07576290384076104,110.56767125450382,25.096749451163017,0.025548410841285563,0.9107162929398979,0.007180001642037595,0.017557110681382816,5.256985804899874,0.10052947992875903,0.14326880425501276,0.007441233081042832,0.08346880254935005,0.03725207637422256,0.2075689100038619,0.02707644160010532,0.036567455756328054,0.08039665044358532,False
humidity,0.03484840740438949,0.03934371943552569,45.007313431964626,10.700881668774102,0.029158910210719036,0.5938096761632243,0.026109934523818525,0.0350298837889524,34.230364121543886,0.06361349342869112,0.07404634051240891,0.0030279101632226754,0.03547278245649155,0.042747920691601334,0.13534009239371422,0.10949854664814115,0.07468021143767882,0.06730341221649372,True
wind_speed,0.042891300040938295,0.047620927374854106,68.2224949703786,15.821465902363428,0.048220156020340355,0.031138406048931436,0.030846963085422792,0.03489500876985252,1.4581957136813841,0.07866693208650596,0.08977894781340569,0.004590685232299771,0.05254488033052078,0.07176264379385322,0.007097012596502327,0.1301238636082381,0.07438601322318679,0.06361887233556408,False
dew_point,0.044254142704671845,0.03684022692044922,72.63546469892695,16.791133224925968,0.058229842046305436,0.0,0.026598078983338998,0.030644975477686142,43.488285577989345,0.08121768955223899,0.06928791654754249,0.004887752867155684,0.05577776444703333,0.08699922755572156,0.0,0.11162395798332535,0.06511556259095311,0.05936373394299631,True
clouds_all,0.043042611157363124,0.04755204532782416,68.7055870770038,15.927661952931325,0.013160166947365326,0.14211420416610265,0.017835502182757104,0.020514055580711933,1.4657967150608138,0.07895013275973092,0.0896480227232117,0.004623205516453162,0.052898939415661476,0.018394889918769187,0.032390427934038235,0.07347115363587035,0.04301733739890052,0.04917426366282945,False
cos_dow,0.0008603924721896615,0.00812619729670329,0.027402047317789956,0.061218523181734964,0.012950027431117839,1.3809780779995864,0.005844040724544256,0.009314176460885993,3.2096032113676314,0.0,0.014710750501834019,0.0,0.0,0.018075018912558017,0.31475017698900387,0.021259584679937157,0.018587428424138894,0.048422869938434,False
EVENT_WITHIN_60,0.05307670567726815,0.06256015290046252,104.5737300436183,23.787100720577182,0.0042575548424230725,0.2348418140486087,0.0009613395262285394,0.0016882752868804473,1.8819501213358598,0.09773039418653531,0.11817414705186946,0.007037739277887088,0.07910241576822934,0.004843476349501173,0.05352474721632798,0.0,0.0019533139360908658,0.04529577922330515,False
Water Ride,0.020834811641336232,0.04758647680983696,16.075230433570823,4.214710311388892,0.049687953869064216,0.5308984611622798,0.004050814568995771,0.0059646598846388125,9.81887241842421,0.03738501895721589,0.0897134671326393,0.0010802907603098299,0.01384779843325515,0.07399690217214387,0.12100147516901236,0.013451766475269676,0.011281243759848918,0.04521974535746188,False
IS_SCHOOL_VAC,0.02124918605095253,0.03879001759193131,16.721307173004128,4.362675940706849,0.006156993783875242,0.4298798876216182,0.00600072480857687,0.02283294428354963,1.4898592295968822,0.03816058069083662,0.07299391151328737,0.0011237826718172325,0.014341117865271953,0.007734771886335973,0.09797749353770549,0.021941796926232052,0.048075449127325,0.03779361302735146,False
feels_like,0.013937315508386243,0.002693776790627048,7.191709213311487,2.135052076259817,0.05666623933286452,0.14255427740033091,0.01727661886366471,0.018598165370641184,173.7706563160879,0.024475355777323977,0.004385271289224773,0.0004822792622878726,0.00691418943181363,0.08461913654669012,0.032490728677814065,0.07103774090675484,0.03883827234499191,0.032905371779612655,True
temp,0.015527815312226797,0.0003866066161715723,8.927193061219418,2.5510773997134164,0.06481466607412756,0.0,0.01673734326685638,0.01807129768557525,187.66402993016223,0.02745220655904149,0.0,0.0005991067308049158,0.008301223550593472,0.09702254123377488,0.0,0.06868970141989762,0.037689034085346816,0.0299692266974324,True
cos_month,0.012757763076466243,0.01719990328104013,6.025724110745016,1.8506757291268199,0.020889254329499174,0.07472484237610347,0.01053243165901665,0.027653488310621265,3.866322190065284,0.022267652531741018,0.03195727300829391,0.0004037887087597407,0.00596607480077858,0.030159982949179973,0.017031159102411927,0.04167313038665534,0.05859033509441757,0.026006174572779758,False
DOWNTIME,0.016393407411987693,0.022220041796803706,9.950494878066047,2.7933501473868083,0.001075629137132994,0.4309829039699072,0.0019699786323872045,0.001521710145484878,1.3320197329381784,0.02907228756288677,0.04149912195591445,0.000667992281618423,0.009108964205138058,0.0,0.09822889114956955,0.004391677396985319,0.0015899911538423642,0.023069865713244368,False
minute,0.015785709384685348,0.014475249294376474,9.226265066975095,2.62208592499612,0.006110763586879564,0.0,0.004791106186630081,0.006887693763035352,inf,0.02793489267402545,0.02677848427693909,0.0006192393441846769,0.008537966945139105,0.007664401020853765,0.0,0.016675042218289374,0.013294625635545369,0.012688081514372103,True
IS_HOLIDAY,0.0017507338374414107,0.007690334075757964,0.11345694073067197,0.1329781267389548,0.0011629679524616243,0.0,0.0009847827636427387,0.0007927795242932856,1.0595017371973527,0.001666402839374892,0.013882299055121084,5.792952416728185e-06,0.0002392474997861047,0.0001329457459469836,0.0,0.00010207331367132607,0.0,0.0020035951757896397,False
